Name,Instance ID,Private IP,Public IP
lsh-svr2,i-0fa3af514657a74c4,10.10.10.128,
syh-svr-2,i-0c0e2d7b28972f188,10.10.10.245,
kms-gdj62-1,i-07bf732ec9854e443,10.20.30.21,
gdj62-hamtori-3,i-04aa8c2e33bfde63b,10.20.30.184,
gdj62-my-8,i-06abbe1b812c3b79d,10.20.30.254,
gdj62-mhs-10,i-0e7fba9a2b40550d4,10.20.30.81,
gdj62-kus-9,i-01be5a5895edd0a05,10.20.30.101,
gdj62-lys-6,i-0163b445d1bed10a5,10.20.30.159,
gdj62-khb-5,i-0f00d63b32b5ea26a,10.20.30.232,
none,i-07809f9d3565ad546,10.20.30.104,
gdj62-kms-0,i-0b55dcb12e64f994d,10.20.30.22,
gdj62-chatjjk-2,i-0194e9b1668ffed39,10.20.30.131,
gdj62-ksj-1,i-0af57b6a72f17484e,10.20.30.203,
gdj62-kdh,i-0dc4bf6eb970ceb6c,10.20.30.20,
LJH-svr-1,i-0346e7b7208ac1e87,10.10.10.57,3.36.111.119
JSW-svr-1,i-01fcf1ccf798b4409,10.10.10.131,52.78.139.195
csy-svr-1,i-08898772764b55a5e,10.10.10.175,3.36.130.255
jhw-svr-1,i-0f17ba5bde66bea6e,10.10.10.249,13.125.199.239
kse-ec2-1,i-0addffd683ac549e6,10.10.10.199,13.125.63.105
kjw-svr-1,i-02b33346e6639a3b8,10.10.10.236,3.36.94.165
smy-svr-1,i-0c6bd377d16fa7af0,10.10.10.161,43.201.7.35
lch-svr-1,i-04af8ddcceccc62b2,10.10.10.182,13.124.231.42
leh-svr-1,i-071c081ba46bdee4b,10.10.10.188,13.125.57.194
lsj-svr-1,i-053257abc61a61437,10.10.10.67,43.201.104.198
kozy-svr-1,i-0754c9c753d22b8b3,10.10.10.136,52.78.136.218
lsh-svr-1,i-0fa0e6b13be65196e,10.10.10.158,52.79.128.199
lkm-svr-1,i-022c554c11cdbd05f,10.10.10.91,3.35.17.103
kch-svr-1,i-0b6e2dc6e5299e3e1,10.10.10.15,43.202.46.219
JWJW-svr-1,i-0e829241d0838849d,10.10.10.35,43.202.56.136
wsj-svr-1,i-01a3beb4e132cd063,10.10.10.122,13.124.91.231
ian-svr-2,i-0c64c5da1a1b4bed6,10.20.30.94,
gdh-svr-1,i-0eb7b37463a2f3d63,10.10.10.77,3.38.98.2
pty-svr-1,i-0a5e6d689ee9dd4b4,10.10.10.237,3.36.98.212
kyh-svr-1,i-00cf9ca02be321718,10.10.10.9,15.165.17.194
kyt-svr-1,i-0375d3e997e54483a,10.10.10.217,43.200.254.133
dhun-svr-1,i-001304200e65309dd,10.10.10.19,
JWJW-svr-3,i-077ea2d327dcce563,10.10.10.189,
lsj-svr-3,i-02e1b16b35ae25967,10.10.10.16,
kyh-svr-ubuntu,i-03b25d24d7da51496,10.10.10.213,
none,i-06c87cfa4bf5201a7,10.10.10.167,
kyt-svr-ubuntu,i-06aca3dd343c1a95e,10.10.10.43,
ljs-svr-2,i-01f5162e60b2e549f,10.10.10.30,
kjh-svr-3,i-036a789e56948fc2a,10.10.10.47,
kch-svr2,i-06913e4c91d53805e,10.10.10.170,
lch-svr-ubuntu,i-035df3cb958a034ab,10.10.10.210,
jsw-svr-2,i-0339e98fd85693d9d,10.10.10.24,
dhun-svr-2,i-0920f086886b69905,10.10.10.124,
lsr-svr2,i-01a1da767eaf177aa,10.10.10.121,
kse-ec2-3,i-0eefc3d6a171793bf,10.10.10.138,
none,i-040d905beaf0f0f2f,10.10.10.107,
csm-svr-ubuntu,i-0d3b37385cb948eed,10.10.10.20,
ian-svr-3,i-082bc17cd2f317ab9,10.10.10.93,
shs-svr-2,i-08a55c7c1b23e145e,10.10.10.73,
csm-svr-py,i-0b85cf5f60f75d5d7,10.10.10.235,3.36.49.164
shs-svr-1,i-0200ab36d4afb0ff1,10.10.10.174,54.180.131.215
pty-svr-2,i-09a13f13889016f26,10.10.10.72,3.35.54.212
lsj-svr2,i-06122418586ff2bea,10.10.10.110,3.38.209.246
lkm-svr-2,i-095f63fd9dd77fdfe,10.10.10.42,43.201.104.250
none,i-01aba20479740c5de,10.10.10.79,54.180.140.187
gdh-sv,i-07099cdacb2741bef,10.10.10.252,43.201.24.157
wsj-svr-cli,i-08013672f7c719870,10.10.10.94,3.34.252.86
kjh-svr-4,i-062f0491e9b98e10f,10.10.10.198,13.124.124.219
lsh-svr-2,i-0169991ff068a07ff,10.10.10.83,43.201.249.152
csy-svr-2,i-0b186522f127ff5e8,10.10.10.239,13.125.67.230
leh-svr-2,i-05e844be66d6918fe,10.10.10.168,3.34.187.19
LJH-svr-3,i-0f8e9feed9ef893f3,10.10.10.106,3.35.169.84
none,i-0c40b4735f66c5120,10.10.10.228,3.36.121.57
smy-svr-2,i-005dee3aaa396af34,10.10.10.244,3.36.51.138
kyh-from-cli,i-06681c7aa663b3fbd,10.10.10.177,13.124.245.29
kyt-svr-2,i-04cfe12641388e6ef,10.10.10.69,52.79.232.163
kjw-svr-2,i-0c671da274c7b265c,10.10.10.97,3.34.95.225
lch-srv-2(cli),i-02059d2ed43acf7e6,10.10.10.160,3.34.187.146
jsw_svr_2,i-0b84c57d2f3d2edf2,10.10.10.142,43.202.50.41
kch-svr-2,i-087f0ea5856de7b5e,10.10.10.120,43.201.50.123
ljs-svr-1(CLI 생성),i-0b9ba877ae60f3947,10.10.10.144,13.125.105.174
ian-svr-1,i-048d44c84c05e7988,10.10.10.186,13.124.58.163
none,i-092636f0900fe821f,10.10.10.32,3.34.141.241
none,i-01641812c2dbd0df6,10.10.10.46,13.124.160.141
lsr_svr2,i-05523dcbd6ac82b9f,10.10.10.51,13.209.84.186
ian-svr-2,i-03122c256c24d2539,10.10.20.176,
kjh-svr-2,i-09e525359d5822e19,10.10.20.58,
JWJW-svr-2,i-0effe86ddd1a8def4,10.10.20.133,
lsr-svr-2,i-008fe885bc7eb6ace,10.10.20.55,
